,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
214,Plate03,B11,Flutamide,Prestw-180,13311-84-7,C11H11F3N2O3,['Oncology'],['Antineoplastic']
215,Plate03,B12,DMSO,,,,,
216,Plate03,C01,DMSO,,,,,
217,Plate03,C02,Ampyrone,Prestw-181,83-07-8,C11H13N3O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anticoagulant', 'Anti-inflammatory', 'Antipyretic']"
218,Plate03,C03,Levamisole hydrochloride,Prestw-182,16595-80-5,C11H13ClN2S,"['Immunology', 'Infectiology', 'Metabolism']","['Antihelmintic', 'Immunomodulator']"
219,Plate03,C04,Pargyline hydrochloride,Prestw-183,306-07-0,C11H14ClN,"['Cardiovascular', 'Central Nervous System']","['Antidepressant', 'Antihypertensive']"
220,Plate03,C05,Methocarbamol,Prestw-184,532-03-6,C11H15NO5,['Central Nervous System'],"['Analgesic', 'Muscle relaxant']"
221,Plate03,C06,Aztreonam,Prestw-185,78110-38-0,C13H17N5O8S2,"['Infectiology', 'Metabolism']",['Antibacterial']
222,Plate03,C07,Cloxacillin sodium salt,Prestw-186,642-78-4,C19H17ClN3NaO5S,"['Infectiology', 'Metabolism']",['Antibacterial']
223,Plate03,C08,Catharanthine,Prestw-187,2468-21-5,C21H24N2O2,['Oncology'],['Antineoplastic']
224,Plate03,C09,Pentolinium bitartrate,Prestw-188,52-62-0,C23H42N2O12,['Cardiovascular'],['Antihypertensive']
225,Plate03,C10,"Aminopurine, 6-benzyl",Prestw-189,1214-39-7,C12H11N5,['Endocrinology'],[nan]
226,Plate03,C11,Tolbutamide,Prestw-190,64-77-7,C12H18N2O3S,['Endocrinology'],['Antidiabetic']
227,Plate03,C12,DMSO,,,,,
228,Plate03,D01,DMSO,,,,,
229,Plate03,D02,Midodrine hydrochloride,Prestw-191,3092-17-9,C12H19ClN2O4,['Cardiovascular'],['Antihypertensive']
230,Plate03,D03,Thalidomide,Prestw-192,50-35-1,C13H10N2O4,"['Central Nervous System', 'Immunology']","['Hypnotic', 'Immunosuppressant']"
231,Plate03,D04,Oxolinic acid,Prestw-193,14698-29-4,C13H11NO5,"['Metabolism', 'Infectiology']",['Antibacterial']
232,Plate03,D05,Nimesulide,Prestw-194,51803-78-2,C13H12N2O5S,['Metabolism'],['Anti-inflammatory']
233,Plate03,D06,Asenapine maleate,Prestw-1231,85650-56-2,C21H20ClNO5,['Central Nervous System'],['Antipsychotic']
234,Plate03,D07,Pentoxifylline,Prestw-196,6493-05-6,C13H18N4O3,"['Cardiovascular', 'Respiratory']","['Bronchodilator', 'Vasodilator']"
235,Plate03,D08,Metaraminol bitartrate,Prestw-197,33402-03-8,C17H25NO14,['Cardiovascular'],"['Antihypotensive', 'Vasoconstrictor']"
236,Plate03,D09,Salbutamol,Prestw-198,18559-94-9,C13H21NO3,"['Neuromuscular', 'Respiratory']","['Bronchodilator', 'Tocolytic']"
237,Plate03,D10,Prilocaine hydrochloride,Prestw-199,1786-81-8,C13H21ClN2O,['Neuromuscular'],['Local anesthetic']
238,Plate03,D11,"Camptothecine (S,+)",Prestw-200,7689-03-4,C20H16N2O4,['Oncology'],['Antineoplastic']
239,Plate03,D12,DMSO,,,,,
240,Plate03,E01,DMSO,,,,,
241,Plate03,E02,Ranitidine hydrochloride,Prestw-201,66357-59-3,C13H23ClN4O3S,['Gastroenterology'],['Antiulcer']
242,Plate03,E03,"Tiratricol, 3,3',5-triiodothyroacetic acid",Prestw-202,51-24-1,C14H9I3O4,['Endocrinology'],"['Antihypothyroid', 'Hypocholesterolemic']"
243,Plate03,E04,Flufenamic acid,Prestw-203,530-78-9,C14H10F3NO2,['Central Nervous System'],"['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
244,Plate03,E05,Flumequine,Prestw-204,42835-25-6,C14H12FNO3,"['Infectiology', 'Metabolism']",['Antibacterial']
245,Plate03,E06,Tolfenamic acid,Prestw-205,13710-19-5,C14H12ClNO2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory']"
246,Plate03,E07,Meclofenamic acid sodium salt monohydrate,Prestw-206,6385-02-0,C14H12Cl2NNaO3,['Central Nervous System'],"['Anti-inflammatory', 'Antipyretic']"
247,Plate03,E08,Tibolone,Prestw-1181,5630-53-5,C21H28O2,['Endocrinology'],[nan]
248,Plate03,E09,Trimethoprim ,Prestw-208,738-70-5,C14H18N4O3,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antimalarial']"
249,Plate03,E10,Metoclopramide monohydrochloride,Prestw-209,7232-21-5,C14H23Cl2N3O2,['Central Nervous System'],['Antiemetic']
250,Plate03,E11,Fenbendazole,Prestw-210,43210-67-9,C15H13N3O2S,"['Infectiology', 'Metabolism']",['Antihelmintic']
251,Plate03,E12,DMSO,,,,,
252,Plate03,F01,DMSO,,,,,
253,Plate03,F02,Piroxicam,Prestw-211,36322-90-4,C15H13N3O4S,"['Central Nervous System', 'Hematology', 'Metabolism']","['Analgesic', 'Anticoagulant', 'Anti-inflammatory', 'Antiplatelet', 'Antipyretic', 'Uricosuric']"
254,Plate03,F03,Pyrantel tartrate,Prestw-212,33401-94-4,C15H20N2O6S,['Infectiology'],['Antihelmintic']
255,Plate03,F04,Fenspiride hydrochloride,Prestw-213,5053-08-7,C15H21ClN2O2,['Respiratory'],"['Antitussive', 'Bronchodilator']"
256,Plate03,F05,Gemfibrozil,Prestw-214,25812-30-0,C15H22O3,['Metabolism'],"['Hypocholesterolemic', 'Lipid-lowering']"
257,Plate03,F06,Mefexamide hydrochloride,Prestw-215,3413-64-7,C15H25ClN2O3,['Central Nervous System'],['CNS Stimulant']
258,Plate03,F07,Tiapride hydrochloride,Prestw-216,51012-33-0,C15H25ClN2O4S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic', 'Anxiolytic', 'Sedative']"
259,Plate03,F08,Mebendazole,Prestw-217,31431-39-7,C16H13N3O3,"['Infectiology', 'Metabolism']",['Antihelmintic']
260,Plate03,F09,Fenbufen,Prestw-218,36330-85-5,C16H14O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
261,Plate03,F10,Ketoprofen,Prestw-219,22071-15-4,C16H14O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
262,Plate03,F11,Indapamide,Prestw-220,26807-65-8,C16H16ClN3O3S,['Metabolism'],"['Antihypertensive', 'Diuretic']"
263,Plate03,F12,DMSO,,,,,
264,Plate03,G01,DMSO,,,,,
265,Plate03,G02,Norfloxacin,Prestw-221,70458-96-7,C16H18FN3O3,"['Infectiology', 'Metabolism']",['Antibacterial']
266,Plate03,G03,Antimycin A,Prestw-222,1397-94-0,C28H40N2O9,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antifungal']"
267,Plate03,G04,Xylometazoline hydrochloride,Prestw-223,1218-35-5,C16H25ClN2,['Cardiovascular'],"['Nasal Decongestant', 'Vasoconstrictor']"
268,Plate03,G05,Oxymetazoline hydrochloride,Prestw-224,2315-02-8,C16H25ClN2O,['Respiratory'],"['Nasal Decongestant', 'Vasoconstrictor']"
269,Plate03,G06,Nifenazone,Prestw-225,2139-47-1,C17H16N4O2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
270,Plate03,G07,Griseofulvin,Prestw-226,126-07-8,C17H17ClO6,"['Infectiology', 'Metabolism']","['Antifungal', 'Anti-inflammatory']"
271,Plate03,G08,Clemizole hydrochloride,Prestw-227,1163-36-6,C19H21Cl2N3,"['Allergology', 'Dermatology', 'Infectiology']","['Antibacterial', 'Antifungal', 'Antihistaminic', 'Antipruritic']"
272,Plate03,G09,Tropicamide,Prestw-228,1508-75-4,C17H20N2O2,['Neuromuscular'],['Mydriatic']
273,Plate03,G10,Nefopam hydrochloride,Prestw-229,23327-57-3,C17H20ClNO,['Central Nervous System'],['Analgesic']
274,Plate03,G11,Phentolamine hydrochloride,Prestw-230,73-05-2,C17H20ClN3O,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
275,Plate03,G12,DMSO,,,,,
276,Plate03,H01,DMSO,,,,,
277,Plate03,H02,Etodolac,Prestw-231,41340-25-4,C17H21NO3,"['Central Nervous System', 'Hematology']","['Analgesic', 'Anti-inflammatory', 'Antiplatelet', 'Antipyretic']"
278,Plate03,H03,Scopolamin-N-oxide hydrobromide,Prestw-232,6106-81-6,C17H22BrNO5,['Neuromuscular'],"['Antispastic', 'Mydriatic']"
279,Plate03,H04,Hyoscyamine (L) ,Prestw-233,101-31-5,C17H23NO3,"['Central Nervous System', 'Ophthalmology']","['Antiemetic', 'Antispastic', 'Mydriatic']"
280,Plate03,H05,Chlorphensin carbamate,Prestw-234,886-74-8,C10H12ClNO4,['Central Nervous System'],['Muscle relaxant']
281,Plate03,H06,Carmofur,Prestw-1771,61422-45-5,C11H16FN3O3,['Metabolism'],['Antineoplastic']
282,Plate03,H07,Dilazep dihydrochloride,Prestw-236,20153-98-4,C31H46Cl2N2O10,"['Cardiovascular', 'Hematology']","['Antiplatelet', 'Vasodilator']"
283,Plate03,H08,Ofloxacin,Prestw-237,82419-36-1,C18H20FN3O4,"['Infectiology', 'Metabolism']",['Antibacterial']
284,Plate03,H09,Lomefloxacin hydrochloride,Prestw-238,98079-52-8,C17H20ClF2N3O3,"['Infectiology', 'Metabolism']",['Antibacterial']
285,Plate03,H10,Orphenadrine hydrochloride,Prestw-239,341-69-5,C18H24ClNO,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antiparkinsonian']"
286,Plate03,H11,Proglumide,Prestw-240,6620-60-6,C18H26N2O4,['Gastroenterology'],['Antiulcer']
287,Plate03,H12,DMSO,,,,,
288,Plate04,A01,DMSO,,,,,
289,Plate04,A02,Mexiletine hydrochloride,Prestw-241,5370-01-4,C11H18ClNO,"['Cardiovascular', 'Neuromuscular']","['Antiarrhythmic', 'Local anesthetic']"
290,Plate04,A03,Flavoxate hydrochloride,Prestw-242,3717-88-2,C24H26ClNO4,['Metabolism'],['Antispastic']
291,Plate04,A04,Bufexamac,Prestw-243,2438-72-4,C12H17NO3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
292,Plate04,A05,"Glutethimide, para-amino",Prestw-244,125-84-8,C13H16N2O2,['Oncology'],['Antineoplastic']
293,Plate04,A06,"Dropropizine (R,S)",Prestw-245,17692-31-8,C13H20N2O2,['Respiratory'],['Antitussive']
294,Plate04,A07,Pinacidil,Prestw-246,85371-64-8,C13H19N5,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
295,Plate04,A08,Albendazole,Prestw-247,54965-21-8,C12H15N3O2S,['Metabolism'],"['Antihelmintic', 'Antiparasitic']"
296,Plate04,A09,Clonidine hydrochloride,Prestw-248,4205-91-8,C9H10Cl3N3,"['Cardiovascular', 'Central Nervous System']","['Analgesic', 'Antihypotensive', 'Sedative']"
297,Plate04,A10,Bupropion hydrochloride,Prestw-249,31677-93-7,C13H19Cl2NO,['Central Nervous System'],['Antidepressant']
298,Plate04,A11,Alprenolol hydrochloride,Prestw-250,13707-88-5,C15H24ClNO2,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypertensive']"
299,Plate04,A12,DMSO,,,,,
300,Plate04,B01,DMSO,,,,,
301,Plate04,B02,Chlorothiazide,Prestw-251,58-94-6,C7H6ClN3O4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
302,Plate04,B03,Diphenidol hydrochloride,Prestw-252,3254-89-5,C21H28ClNO,['Central Nervous System'],"['Antiemetic', 'Antivertigo']"
303,Plate04,B04,Norethindrone,Prestw-253,68-22-4,C20H26O2,['Endocrinology'],['Contraceptive']
304,Plate04,B05,Nortriptyline hydrochloride,Prestw-254,894-71-3,C19H22ClN,['Central Nervous System'],"['Antidepressant', 'CNS Stimulant']"
305,Plate04,B06,Niflumic acid,Prestw-255,4394-00-7,C13H9F3N2O2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
306,Plate04,B07,Isotretinoin,Prestw-256,4759-48-2,C20H28O2,['Dermatology'],['Keratolytic']
307,Plate04,B08,Retinoic acid ,Prestw-257,302-79-4,C20H28O2,['Dermatology'],['Keratolytic']
308,Plate04,B09,Antazoline hydrochloride,Prestw-258,2508-72-7,C17H20ClN3,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
309,Plate04,B10,Ethacrynic acid,Prestw-259,58-54-8,C13H12Cl2O4,['Metabolism'],['Diuretic']
310,Plate04,B11,Praziquantel,Prestw-260,55268-74-1,C19H24N2O2,['Infectiology'],['Antihelmintic']
311,Plate04,B12,DMSO,,,,,
312,Plate04,C01,DMSO,,,,,
313,Plate04,C02,Ethisterone,Prestw-261,434-03-7,C21H28O2,['Endocrinology'],['Contraceptive']
314,Plate04,C03,Triprolidine hydrochloride,Prestw-262,550-70-9,C19H23ClN2,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
315,Plate04,C04,Doxepin hydrochloride,Prestw-263,1229-29-4,C19H22ClNO,"['Allergology', 'Central Nervous System']","['Anticonvulsant', 'Antidepressant', 'Antipruritic', 'Antispastic', 'Muscle relaxant']"
316,Plate04,C05,Dyclonine hydrochloride,Prestw-264,536-43-6,C18H28ClNO2,['Neuromuscular'],['Local anesthetic']
317,Plate04,C06,Dimenhydrinate,Prestw-265,523-87-5,C24H28ClN5O3,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antivertigo']"
318,Plate04,C07,Disopyramide,Prestw-266,3737-09-5,C21H29N3O,['Cardiovascular'],['Antiarrhythmic']
319,Plate04,C08,Clotrimazole,Prestw-267,23593-75-1,C22H17ClN2,['Infectiology'],"['Antibacterial', 'Antifungal']"
320,Plate04,C09,Vinpocetine,Prestw-268,42971-09-5,C22H26N2O2,"['Cardiovascular', 'Central Nervous System']","['CNS Stimulant', 'Neuroprotectant', 'Vasodilator']"
321,Plate04,C10,Clomipramine hydrochloride,Prestw-269,17321-77-6,C19H24Cl2N2,['Central Nervous System'],['Antidepressant']
322,Plate04,C11,Fendiline hydrochloride,Prestw-270,13636-18-5,C23H26ClN,['Cardiovascular'],['Antianginal']
323,Plate04,C12,DMSO,,,,,
324,Plate04,D01,DMSO,,,,,
325,Plate04,D02,Vincamine,Prestw-271,1617-90-9,C21H26N2O3,['Central Nervous System'],"['CNS Stimulant', 'Vasodilator']"
326,Plate04,D03,Indomethacin,Prestw-272,53-86-1,C19H16ClNO4,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic', 'Uricosuric']"
327,Plate04,D04,Cortisone,Prestw-273,53-06-5,C21H28O5,"['Endocrinology', 'Metabolism']","['Anti-inflammatory', 'Immunosuppressant']"
328,Plate04,D05,Prednisolone,Prestw-274,50-24-8,C21H28O5,"['Endocrinology', 'Immunology']","['Anti-inflammatory', 'Immunosuppressant']"
329,Plate04,D06,Fenofibrate,Prestw-275,49562-28-9,C20H21ClO4,['Metabolism'],"['Hypocholesterolemic', 'Lipid-lowering', 'Uricosuric']"
330,Plate04,D07,Bumetanide,Prestw-276,28395-03-1,C17H20N2O5S,['Metabolism'],['Diuretic']
331,Plate04,D08,Labetalol hydrochloride,Prestw-277,32780-64-6,C19H25ClN2O3,['Cardiovascular'],['Antihypotensive']
332,Plate04,D09,Cinnarizine,Prestw-278,298-57-7,C26H28N2,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antivertigo', 'Sedative', 'Vasodilator']"
333,Plate04,D10,"Methylprednisolone, 6-alpha",Prestw-279,83-43-2,C22H30O5,['Endocrinology'],"['Anti-inflammatory', 'Immunosuppressant']"
334,Plate04,D11,Quinidine hydrochloride monohydrate,Prestw-280,6151-40-2,C20H27ClN2O3,"['Cardiovascular', 'Infectiology']","['Antiarrhythmic', 'Antimalarial']"
335,Plate04,D12,DMSO,,,,,
336,Plate04,E01,DMSO,,,,,
337,Plate04,E02,Fludrocortisone acetate,Prestw-281,514-36-3,C23H31FO6,"['Dermatology', 'Endocrinology']","['Anti-inflammatory', 'Antipruritic']"
338,Plate04,E03,Fenoterol hydrobromide,Prestw-282,1944-12-3,C17H22BrNO4,"['Neuromuscular', 'Respiratory']","['Bronchodilator', 'Tocolytic']"
339,Plate04,E04,Homochlorcyclizine dihydrochloride,Prestw-283,1982-36-1,C19H25Cl3N2,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
340,Plate04,E05,Diethylcarbamazine citrate,Prestw-284,1642-54-2,C16H29N3O8,"['Infectiology', 'Metabolism']",['Antihelmintic']
341,Plate04,E06,Chenodiol,Prestw-285,474-25-9,C24H40O4,['Gastroenterology'],"['Cholagogue', 'Choleretic']"
342,Plate04,E07,Perhexiline maleate,Prestw-286,6724-53-4,C23H39NO4,['Cardiovascular'],['Antianginal']
343,Plate04,E08,Oxybutynin chloride,Prestw-287,1508-65-2,C22H32ClNO3,['Neuromuscular'],['Antispastic']
344,Plate04,E09,Spiperone,Prestw-288,749-02-0,C23H26FN3O2,['Central Nervous System'],['Antipsychotic']
345,Plate04,E10,Pyrilamine maleate,Prestw-289,59-33-6,C21H27N3O5,"['Allergology', 'Central Nervous System', 'Respiratory']","['Antihistaminic', 'Antipruritic', 'Antitussive', 'Sedative']"
346,Plate04,E11,Sulfinpyrazone,Prestw-290,57-96-5,C23H20N2O3S,"['Hematology', 'Metabolism']","['Antiplatelet', 'Uricosuric']"
347,Plate04,E12,DMSO,,,,,
348,Plate04,F01,DMSO,,,,,
349,Plate04,F02,Dantrolene sodium salt ,Prestw-291,14663-23-1,C14H9N4NaO5,['Neuromuscular'],['Muscle relaxant']
350,Plate04,F03,Trazodone hydrochloride,Prestw-292,25332-39-2,C19H23Cl2N5O,['Central Nervous System'],['Antidepressant']
351,Plate04,F04,Glafenine hydrochloride,Prestw-293,65513-72-6,C19H18Cl2N2O4,['Metabolism'],['Analgesic']
352,Plate04,F05,Pimethixene maleate,Prestw-294,13187-06-9,C23H23NO4S,"['Allergology', 'Central Nervous System', 'Respiratory']","['Antihistaminic', 'Antitussive', 'Bronchodilator', 'Sedative']"
353,Plate04,F06,Pergolide mesylate,Prestw-295,66104-23-2,C20H30N2O3S2,['Central Nervous System'],['Antiparkinsonian']
354,Plate04,F07,Acemetacin,Prestw-296,53164-05-9,C21H18ClNO6,['Metabolism'],['Anti-inflammatory']
355,Plate04,F08,Benzydamine hydrochloride,Prestw-297,132-69-4,C19H24ClN3O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
356,Plate04,F09,Fipexide hydrochloride,Prestw-298,34161-23-4,C20H22Cl2N2O4,['Central Nervous System'],"['Anti-fatigue', 'CNS Stimulant']"
357,Plate04,F10,Mifepristone,Prestw-299,84371-65-3,C29H35NO2,['Endocrinology'],['Abortifacient']
358,Plate04,F11,Diperodon hydrochloride,Prestw-300,537-12-2,C22H28ClN3O4,['Neuromuscular'],['Local anesthetic']
359,Plate04,F12,DMSO,,,,,
360,Plate04,G01,DMSO,,,,,
361,Plate04,G02,Lisinopril,Prestw-301,83915-83-7,C21H35N3O7,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
362,Plate04,G03,Lincomycin hydrochloride,Prestw-302,859-18-7,C18H35ClN2O6S,"['Infectiology', 'Metabolism']",['Antibacterial']
363,Plate04,G04,Telenzepine dihydrochloride,Prestw-303,147416-96-4,C19H24Cl2N4O2S,['Gastroenterology'],['Antiulcer']
364,Plate04,G05,Econazole nitrate,Prestw-304,24169-02-6,C18H16Cl3N3O4,"['Infectiology', 'Metabolism']",['Antifungal']
365,Plate04,G06,Bupivacaine hydrochloride ,Prestw-305,18010-40-7,C18H29ClN2O,['Neuromuscular'],['Local anesthetic']
366,Plate04,G07,Clemastine fumarate,Prestw-306,14976-57-9,C25H30ClNO5,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Sedative']"
367,Plate04,G08,Oxytetracycline dihydrate,Prestw-307,6153-64-6,C22H28N2O11,"['Infectiology', 'Metabolism']",['Antibacterial']
368,Plate04,G09,Pimozide,Prestw-308,2062-78-4,C28H29F2N3O,['Central Nervous System'],['Antipsychotic']
369,Plate04,G10,Amodiaquin dihydrochloride dihydrate,Prestw-309,6398-98-7,C20H28Cl3N3O3,"['Infectiology', 'Metabolism']","['Anti-inflammatory', 'Antimalarial']"
370,Plate04,G11,Mebeverine hydrochloride,Prestw-310,2753-45-9,C25H36ClNO5,['Neuromuscular'],['Antispastic']
371,Plate04,G12,DMSO,,,,,
372,Plate04,H01,DMSO,,,,,
373,Plate04,H02,Ifenprodil tartrate,Prestw-311,23210-58-4,C25H33NO8,['Cardiovascular'],['Vasodilator']
374,Plate04,H03,Flunarizine dihydrochloride,Prestw-312,30484-77-6,C26H28Cl2F2N2,['Central Nervous System'],"['Anticonvulsant', 'Vasodilator']"
375,Plate04,H04,Trifluoperazine dihydrochloride,Prestw-313,440-17-5,C21H26Cl2F3N3S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
376,Plate04,H05,Enalapril maleate,Prestw-314,76095-16-4,C24H32N2O9,['Cardiovascular'],['Antihypertensive']
377,Plate04,H06,Minocycline hydrochloride,Prestw-315,13614-98-7,C23H28ClN3O7,"['Infectiology', 'Metabolism']",['Antibacterial']
378,Plate04,H07,Glibenclamide,Prestw-316,10238-21-8,C23H28ClN3O5S,['Endocrinology'],['Antidiabetic']
379,Plate04,H08,Guanethidine sulfate ,Prestw-317,60-02-6,C20H46N8O4S,"['Central Nervous System', 'Diagnostic']","['Antihypertensive', 'Local anesthetic']"
380,Plate04,H09,Quinacrine dihydrochloride hydrate,Prestw-318,69-05-6,C23H36Cl3N3O3,"['Infectiology', 'Metabolism']","['Antihelmintic', 'Antileishmanial', 'Antimalarial', 'Antiparasitic', 'Antiprotozoal', 'Antitrichomonal']"
381,Plate04,H10,Clofilium tosylate,Prestw-319,92953-10-1,C28H44ClNO3S,['Cardiovascular'],['Antiarrhythmic']
382,Plate04,H11,Fluphenazine dihydrochloride,Prestw-320,146-56-5,C22H28Cl2F3N3OS,['Central Nervous System'],['Antipsychotic']
383,Plate04,H12,DMSO,,,,,
384,Plate05,A01,DMSO,,,,,
385,Plate05,A02,Streptomycin sulfate,Prestw-321,3810-74-0,C42H84N14O36S3,"['Infectiology', 'Metabolism']",['Antibacterial']
386,Plate05,A03,Alfuzosin hydrochloride,Prestw-322,81403-68-1,C19H28ClN5O4,['Cardiovascular'],['Vasodilator']
387,Plate05,A04,Chlorpropamide,Prestw-323,94-20-2,C10H13ClN2O3S,['Endocrinology'],['Antidiabetic']
388,Plate05,A05,Phenylpropanolamine hydrochloride,Prestw-324,154-41-6,C9H14ClNO,['Respiratory'],"['Antihypotensive', 'Nasal Decongestant', 'Vasoconstrictor']"
389,Plate05,A06,Ascorbic acid,Prestw-325,50-81-7,C6H8O6,['Metabolism'],"['Anti-oxidant', 'CNS Stimulant', 'Hemostatic']"
390,Plate05,A07,"Methyldopa (L,-)",Prestw-326,555-30-6,C10H13NO4,"['Cardiovascular', 'Central Nervous System']",['Antihypertensive']
391,Plate05,A08,Cefoperazone dihydrate,Prestw-327,not available,C25H31N9O10S2,"['Infectiology', 'Metabolism']",['Antibacterial']
392,Plate05,A09,Zoxazolamine,Prestw-328,61-80-3,C7H5ClN2O,"['Metabolism', 'Neuromuscular']","['Antigout', 'Muscle relaxant', 'Uricosuric']"
393,Plate05,A10,Tacrine hydrochloride,Prestw-329,1684-40-8,C13H15ClN2,['Central Nervous System'],['CNS Stimulant']
394,Plate05,A11,Bisoprolol fumarate,Prestw-330,104344-23-2,C40H66N2O12,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypertensive']"
395,Plate05,A12,DMSO,,,,,
396,Plate05,B01,DMSO,,,,,
397,Plate05,B02,Tremorine dihydrochloride,Prestw-331,51-73-0,C12H22Cl2N2,['Central Nervous System'],['CNS Stimulant']
398,Plate05,B03,Practolol,Prestw-332,6673-35-4,C14H22N2O3,['Cardiovascular'],"['Antianginal', 'Antihypertensive']"
399,Plate05,B04,"Zidovudine, AZT",Prestw-333,30516-87-1,C10H13N5O4,"['Infectiology', 'Metabolism']",['Antiviral']
400,Plate05,B05,Sulfisoxazole,Prestw-334,127-69-5,C11H13N3O3S,"['Infectiology', 'Metabolism']",['Antibacterial']
401,Plate05,B06,Zaprinast,Prestw-335,37762-06-4,C13H13N5O2,['Cardiovascular'],['Erectile dysfunction treatment']
402,Plate05,B07,Chlormezanone,Prestw-336,80-77-3,C11H12ClNO3S,"['Central Nervous System', 'Neuromuscular']","['Anxiolytic', 'Muscle relaxant']"
403,Plate05,B08,Procainamide hydrochloride,Prestw-337,614-39-1,C13H22ClN3O,"['Cardiovascular', 'Neuromuscular']","['Antiarrhythmic', 'Local anesthetic', 'Vasodilator']"
404,Plate05,B09,N6-methyladenosine,Prestw-338,1867-73-8,C11H15N5O4,['Oncology'],['Antineoplastic']
405,Plate05,B10,Guanfacine hydrochloride,Prestw-339,29110-48-3,C9H10Cl3N3O,"['Cardiovascular', 'Central Nervous System']",['Antihypertensive']
406,Plate05,B11,Domperidone,Prestw-340,57808-66-9,C22H24ClN5O2,['Central Nervous System'],['Antiemetic']
407,Plate05,B12,DMSO,,,,,
408,Plate05,C01,DMSO,,,,,
409,Plate05,C02,Furosemide,Prestw-341,54-31-9,C12H11ClN2O5S,['Metabolism'],"['Antihypertensive', 'Diuretic']"
410,Plate05,C03,Methapyrilene hydrochloride,Prestw-342,135-23-9,C14H20ClN3S,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
411,Plate05,C04,Desipramine hydrochloride,Prestw-343,58-28-6,C18H23ClN2,['Central Nervous System'],"['Antidepressant', 'CNS Stimulant']"
412,Plate05,C05,Clorgyline hydrochloride,Prestw-344,17780-75-5,C13H16Cl3NO,['Central Nervous System'],['Antidepressant']
413,Plate05,C06,Clenbuterol hydrochloride,Prestw-345,21898-19-1,C12H19Cl3N2O,"['Neuromuscular', 'Respiratory']","['Antiasthmatic', 'Bronchodilator', 'Tocolytic']"
414,Plate05,C07,Maprotiline hydrochloride,Prestw-346,10347-81-6,C20H24ClN,['Central Nervous System'],"['Antidepressant', 'Anxiolytic']"
415,Plate05,C08,Thioguanosine,Prestw-347,85-31-4,C10H13N5O4S,"['Metabolism', 'Oncology']",['Antineoplastic']
416,Plate05,C09,Chlorprothixene hydrochloride,Prestw-348,6469-93-8,C18H19Cl2NS,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
417,Plate05,C10,Ritodrine hydrochloride,Prestw-349,23239-51-2,C17H22ClNO3,['Neuromuscular'],['Tocolytic']
418,Plate05,C11,Clozapine,Prestw-350,5786-21-0,C18H19ClN4,['Central Nervous System'],"['Antiparkinsonian', 'Antipsychotic']"
419,Plate05,C12,DMSO,,,,,
420,Plate05,D01,DMSO,,,,,
421,Plate05,D02,Chlorthalidone,Prestw-351,77-36-1,C14H11ClN2O4S,['Metabolism'],"['Antihypertensive', 'Diuretic']"
422,Plate05,D03,Dobutamine hydrochloride,Prestw-352,49745-95-1,C18H24ClNO3,['Cardiovascular'],"['Analeptic', 'Cardiotonic', 'Positive inotropic']"
423,Plate05,D04,Moclobemide,Prestw-353,71320-77-9,C13H17ClN2O2,['Central Nervous System'],['Antidepressant']
424,Plate05,D05,Clopamide,Prestw-354,636-54-4,C14H20ClN3O3S,['Metabolism'],"['Antihypertensive', 'Diuretic']"
