,Plate 384,Well 384,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
188,Plate01,H21,Plate03,D11,"Camptothecine (S,+)",Prestw-200,7689-03-4,C20H16N2O4,['Oncology'],['Antineoplastic']
189,Plate01,H22,Plate04,D11,Quinidine hydrochloride monohydrate,Prestw-280,6151-40-2,C20H27ClN2O3,"['Cardiovascular', 'Infectiology']","['Antiarrhythmic', 'Antimalarial']"
190,Plate01,H23,Plate03,D12,DMSO,nan,nan,nan,,
191,Plate01,H24,Plate04,D12,DMSO,nan,nan,nan,,
192,Plate01,I01,Plate01,E01,DMSO,nan,nan,nan,,
193,Plate01,I02,Plate02,E01,DMSO,nan,nan,nan,,
194,Plate01,I03,Plate01,E02,Procaine hydrochloride,Prestw-41,51-05-8,C13H21ClN2O2,['Neuromuscular'],['Local anesthetic']
195,Plate01,I04,Plate02,E02,Bromocryptine mesylate,Prestw-121,22260-51-1,C33H44BrN5O8S,['Central Nervous System'],['Antiparkinsonian']
196,Plate01,I05,Plate01,E03,Moxisylyte hydrochoride,Prestw-42,964-52-3,C16H26ClNO3,['Cardiovascular'],"['Erectile dysfunction treatment', 'Vasodilator']"
197,Plate01,I06,Plate02,E03,Amfepramone hydrochloride,Prestw-1471,90-84-6,C13H20ClNO,['Central Nervous System'],[nan]
198,Plate01,I07,Plate01,E04,Betazole hydrochloride,Prestw-43,138-92-1,C5H11Cl2N3,['Gastroenterology'],['Diagnostic']
199,Plate01,I08,Plate02,E04,Dehydrocholic acid,Prestw-123,81-23-2,C24H34O5,"['Gastroenterology', 'Metabolism']",['Choleretic']
200,Plate01,I09,Plate01,E05,Isoxicam,Prestw-44,34552-84-6,C14H13N3O5S,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
201,Plate01,I10,Plate02,E05,Tioconazole,Prestw-1184,65899-73-2,C16H13Cl3N2OS,"['Infectiology', 'Metabolism']",['Antifungal']
202,Plate01,I11,Plate01,E06,Naproxen,Prestw-45,22204-53-1,C14H14O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
203,Plate01,I12,Plate02,E06,Perphenazine,Prestw-125,58-39-9,C21H26ClN3OS,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
204,Plate01,I13,Plate01,E07,Naphazoline hydrochloride,Prestw-46,550-99-2,C14H15ClN2,['Cardiovascular'],"['Nasal Decongestant', 'Vasoconstrictor']"
205,Plate01,I14,Plate02,E07,Mefloquine hydrochloride,Prestw-126,51773-92-3,C17H17ClF6N2O,['Infectiology'],['Antimalarial']
206,Plate01,I15,Plate01,E08,Ticlopidine hydrochloride,Prestw-47,53885-35-1,C14H15Cl2NS,['Hematology'],"['Anticoagulant', 'Antiplatelet']"
207,Plate01,I16,Plate02,E08,Isoconazole,Prestw-127,27523-40-6,C18H14Cl4N2O,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antifungal']"
208,Plate01,I17,Plate01,E09,Dicyclomine hydrochloride,Prestw-48,67-92-5,C19H36ClNO2,['Gastroenterology'],['Antispastic']
209,Plate01,I18,Plate02,E09,Spironolactone,Prestw-128,52-01-7,C24H32O4S,['Endocrinology'],['Diuretic']
210,Plate01,I19,Plate01,E10,Amyleine hydrochloride,Prestw-49,532-59-2,C14H22ClNO2,['Neuromuscular'],['Local anesthetic']
211,Plate01,I20,Plate02,E10,Pirenzepine dihydrochloride,Prestw-129,29868-97-1,C19H23Cl2N5O2,['Gastroenterology'],['Antiulcer']
212,Plate01,I21,Plate01,E11,Lidocaine hydrochloride,Prestw-50,73-78-9,C14H23ClN2O,"['Cardiovascular', 'Neuromuscular']","['Antiarrhythmic', 'Local anesthetic']"
213,Plate01,I22,Plate02,E11,Dexamethasone acetate,Prestw-130,1177-87-3,C24H31FO6,"['Endocrinology', 'Metabolism']","['Anti-inflammatory', 'Immunosuppressant']"
214,Plate01,I23,Plate01,E12,DMSO,nan,nan,nan,,
215,Plate01,I24,Plate02,E12,DMSO,nan,nan,nan,,
216,Plate01,J01,Plate03,E01,DMSO,nan,nan,nan,,
217,Plate01,J02,Plate04,E01,DMSO,nan,nan,nan,,
218,Plate01,J03,Plate03,E02,Ranitidine hydrochloride,Prestw-201,66357-59-3,C13H23ClN4O3S,['Gastroenterology'],['Antiulcer']
219,Plate01,J04,Plate04,E02,Fludrocortisone acetate,Prestw-281,514-36-3,C23H31FO6,"['Dermatology', 'Endocrinology']","['Anti-inflammatory', 'Antipruritic']"
220,Plate01,J05,Plate03,E03,"Tiratricol, 3,3',5-triiodothyroacetic acid",Prestw-202,51-24-1,C14H9I3O4,['Endocrinology'],"['Antihypothyroid', 'Hypocholesterolemic']"
221,Plate01,J06,Plate04,E03,Fenoterol hydrobromide,Prestw-282,1944-12-3,C17H22BrNO4,"['Neuromuscular', 'Respiratory']","['Bronchodilator', 'Tocolytic']"
222,Plate01,J07,Plate03,E04,Flufenamic acid,Prestw-203,530-78-9,C14H10F3NO2,['Central Nervous System'],"['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
223,Plate01,J08,Plate04,E04,Homochlorcyclizine dihydrochloride,Prestw-283,1982-36-1,C19H25Cl3N2,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Sedative']"
224,Plate01,J09,Plate03,E05,Flumequine,Prestw-204,42835-25-6,C14H12FNO3,"['Infectiology', 'Metabolism']",['Antibacterial']
225,Plate01,J10,Plate04,E05,Diethylcarbamazine citrate,Prestw-284,1642-54-2,C16H29N3O8,"['Infectiology', 'Metabolism']",['Antihelmintic']
226,Plate01,J11,Plate03,E06,Tolfenamic acid,Prestw-205,13710-19-5,C14H12ClNO2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory']"
227,Plate01,J12,Plate04,E06,Chenodiol,Prestw-285,474-25-9,C24H40O4,['Gastroenterology'],"['Cholagogue', 'Choleretic']"
228,Plate01,J13,Plate03,E07,Meclofenamic acid sodium salt monohydrate,Prestw-206,6385-02-0,C14H12Cl2NNaO3,['Central Nervous System'],"['Anti-inflammatory', 'Antipyretic']"
229,Plate01,J14,Plate04,E07,Perhexiline maleate,Prestw-286,6724-53-4,C23H39NO4,['Cardiovascular'],['Antianginal']
230,Plate01,J15,Plate03,E08,Tibolone,Prestw-1181,5630-53-5,C21H28O2,['Endocrinology'],[nan]
231,Plate01,J16,Plate04,E08,Oxybutynin chloride,Prestw-287,1508-65-2,C22H32ClNO3,['Neuromuscular'],['Antispastic']
232,Plate01,J17,Plate03,E09,Trimethoprim ,Prestw-208,738-70-5,C14H18N4O3,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antimalarial']"
233,Plate01,J18,Plate04,E09,Spiperone,Prestw-288,749-02-0,C23H26FN3O2,['Central Nervous System'],['Antipsychotic']
234,Plate01,J19,Plate03,E10,Metoclopramide monohydrochloride,Prestw-209,7232-21-5,C14H23Cl2N3O2,['Central Nervous System'],['Antiemetic']
235,Plate01,J20,Plate04,E10,Pyrilamine maleate,Prestw-289,59-33-6,C21H27N3O5,"['Allergology', 'Central Nervous System', 'Respiratory']","['Antihistaminic', 'Antipruritic', 'Antitussive', 'Sedative']"
236,Plate01,J21,Plate03,E11,Fenbendazole,Prestw-210,43210-67-9,C15H13N3O2S,"['Infectiology', 'Metabolism']",['Antihelmintic']
237,Plate01,J22,Plate04,E11,Sulfinpyrazone,Prestw-290,57-96-5,C23H20N2O3S,"['Hematology', 'Metabolism']","['Antiplatelet', 'Uricosuric']"
238,Plate01,J23,Plate03,E12,DMSO,nan,nan,nan,,
239,Plate01,J24,Plate04,E12,DMSO,nan,nan,nan,,
240,Plate01,K01,Plate01,F01,DMSO,nan,nan,nan,,
241,Plate01,K02,Plate02,F01,DMSO,nan,nan,nan,,
242,Plate01,K03,Plate01,F02,Trichlorfon,Prestw-51,52-68-6,C4H8Cl3O4P,['Infectiology'],['Antiparasitic']
243,Plate01,K04,Plate02,F02,Glipizide,Prestw-131,29094-61-9,C21H27N5O4S,['Endocrinology'],['Antidiabetic']
244,Plate01,K05,Plate01,F03,Carbamazepine,Prestw-52,298-46-4,C15H12N2O,['Central Nervous System'],"['Analgesic', 'Anticonvulsant', 'Antidiuretic', 'Muscle relaxant']"
245,Plate01,K06,Plate02,F03,Loxapine succinate,Prestw-132,27833-64-3,C22H24ClN3O5,['Central Nervous System'],"['Antipsychotic', 'Anxiolytic']"
246,Plate01,K07,Plate01,F04,Triflupromazine hydrochloride,Prestw-53,1098-60-8,C18H20ClF3N2S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic', 'Anxiolytic']"
247,Plate01,K08,Plate02,F04,Hydroxyzine dihydrochloride,Prestw-133,2192-20-3,C21H29Cl3N2O2,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antipruritic', 'Anxiolytic', 'Sedative']"
248,Plate01,K09,Plate01,F05,Mefenamic acid,Prestw-54,61-68-7,C15H15NO2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
249,Plate01,K10,Plate02,F05,Diltiazem hydrochloride,Prestw-134,33286-22-5,C22H27ClN2O4S,"['Cardiovascular', 'Hematology', 'Metabolism']","['Antianginal', 'Antiarrhythmic', 'Antihypertensive', 'Antiplatelet', 'Diuretic', 'Vasodilator']"
250,Plate01,K11,Plate01,F06,Acetohexamide,Prestw-55,968-81-0,C15H20N2O4S,['Endocrinology'],['Antidiabetic']
251,Plate01,K12,Plate02,F06,Methotrexate,Prestw-135,59-05-2,C20H22N8O5,['Oncology'],['Antineoplastic']
252,Plate01,K13,Plate01,F07,Sulpiride,Prestw-56,15676-16-1,C15H23N3O4S,['Central Nervous System'],"['Antidepressant', 'Antiemetic', 'Antipsychotic']"
253,Plate01,K14,Plate02,F07,Astemizole,Prestw-136,68844-77-9,C28H31FN4O,['Allergology'],['Antihistaminic']
254,Plate01,K15,Plate01,F08,Benoxinate hydrochloride,Prestw-57,5987-82-6,C17H29ClN2O3,['Neuromuscular'],['Local anesthetic']
255,Plate01,K16,Plate02,F08,Clindamycin hydrochloride,Prestw-137,21462-39-5,C18H34Cl2N2O5S,"['Infectiology', 'Metabolism']",['Antibacterial']
256,Plate01,K17,Plate01,F09,Oxethazaine,Prestw-58,126-27-2,C28H41N3O3,['Neuromuscular'],['Local anesthetic']
257,Plate01,K18,Plate02,F09,Terfenadine,Prestw-138,50679-08-8,C32H41NO2,['Allergology'],"['Antihistaminic', 'Antipruritic']"
258,Plate01,K19,Plate01,F10,Pheniramine maleate,Prestw-59,132-20-7,C20H24N2O4,"['Allergology', 'Central Nervous System']","['Antihistaminic', 'Antitussive', 'Sedative']"
259,Plate01,K20,Plate02,F10,Cefotaxime sodium salt,Prestw-139,64485-93-4,C16H16N5NaO7S2,"['Infectiology', 'Metabolism']",['Antibacterial']
260,Plate01,K21,Plate01,F11,Tolazoline hydrochloride,Prestw-60,59-97-2,C10H13ClN2,['Cardiovascular'],['Vasodilator']
261,Plate01,K22,Plate02,F11,Tetracycline hydrochloride,Prestw-140,64-75-5,C22H25ClN2O8,"['Infectiology', 'Metabolism']",['Antibacterial']
262,Plate01,K23,Plate01,F12,DMSO,nan,nan,nan,,
263,Plate01,K24,Plate02,F12,DMSO,nan,nan,nan,,
264,Plate01,L01,Plate03,F01,DMSO,nan,nan,nan,,
265,Plate01,L02,Plate04,F01,DMSO,nan,nan,nan,,
266,Plate01,L03,Plate03,F02,Piroxicam,Prestw-211,36322-90-4,C15H13N3O4S,"['Central Nervous System', 'Hematology', 'Metabolism']","['Analgesic', 'Anticoagulant', 'Anti-inflammatory', 'Antiplatelet', 'Antipyretic', 'Uricosuric']"
267,Plate01,L04,Plate04,F02,Dantrolene sodium salt ,Prestw-291,14663-23-1,C14H9N4NaO5,['Neuromuscular'],['Muscle relaxant']
268,Plate01,L05,Plate03,F03,Pyrantel tartrate,Prestw-212,33401-94-4,C15H20N2O6S,['Infectiology'],['Antihelmintic']
269,Plate01,L06,Plate04,F03,Trazodone hydrochloride,Prestw-292,25332-39-2,C19H23Cl2N5O,['Central Nervous System'],['Antidepressant']
270,Plate01,L07,Plate03,F04,Fenspiride hydrochloride,Prestw-213,5053-08-7,C15H21ClN2O2,['Respiratory'],"['Antitussive', 'Bronchodilator']"
271,Plate01,L08,Plate04,F04,Glafenine hydrochloride,Prestw-293,65513-72-6,C19H18Cl2N2O4,['Metabolism'],['Analgesic']
272,Plate01,L09,Plate03,F05,Gemfibrozil,Prestw-214,25812-30-0,C15H22O3,['Metabolism'],"['Hypocholesterolemic', 'Lipid-lowering']"
273,Plate01,L10,Plate04,F05,Pimethixene maleate,Prestw-294,13187-06-9,C23H23NO4S,"['Allergology', 'Central Nervous System', 'Respiratory']","['Antihistaminic', 'Antitussive', 'Bronchodilator', 'Sedative']"
274,Plate01,L11,Plate03,F06,Mefexamide hydrochloride,Prestw-215,3413-64-7,C15H25ClN2O3,['Central Nervous System'],['CNS Stimulant']
275,Plate01,L12,Plate04,F06,Pergolide mesylate,Prestw-295,66104-23-2,C20H30N2O3S2,['Central Nervous System'],['Antiparkinsonian']
276,Plate01,L13,Plate03,F07,Tiapride hydrochloride,Prestw-216,51012-33-0,C15H25ClN2O4S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic', 'Anxiolytic', 'Sedative']"
277,Plate01,L14,Plate04,F07,Acemetacin,Prestw-296,53164-05-9,C21H18ClNO6,['Metabolism'],['Anti-inflammatory']
278,Plate01,L15,Plate03,F08,Mebendazole,Prestw-217,31431-39-7,C16H13N3O3,"['Infectiology', 'Metabolism']",['Antihelmintic']
279,Plate01,L16,Plate04,F08,Benzydamine hydrochloride,Prestw-297,132-69-4,C19H24ClN3O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
280,Plate01,L17,Plate03,F09,Fenbufen,Prestw-218,36330-85-5,C16H14O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
281,Plate01,L18,Plate04,F09,Fipexide hydrochloride,Prestw-298,34161-23-4,C20H22Cl2N2O4,['Central Nervous System'],"['Anti-fatigue', 'CNS Stimulant']"
282,Plate01,L19,Plate03,F10,Ketoprofen,Prestw-219,22071-15-4,C16H14O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
283,Plate01,L20,Plate04,F10,Mifepristone,Prestw-299,84371-65-3,C29H35NO2,['Endocrinology'],['Abortifacient']
284,Plate01,L21,Plate03,F11,Indapamide,Prestw-220,26807-65-8,C16H16ClN3O3S,['Metabolism'],"['Antihypertensive', 'Diuretic']"
285,Plate01,L22,Plate04,F11,Diperodon hydrochloride,Prestw-300,537-12-2,C22H28ClN3O4,['Neuromuscular'],['Local anesthetic']
286,Plate01,L23,Plate03,F12,DMSO,nan,nan,nan,,
287,Plate01,L24,Plate04,F12,DMSO,nan,nan,nan,,
288,Plate01,M01,Plate01,G01,DMSO,nan,nan,nan,,
289,Plate01,M02,Plate02,G01,DMSO,nan,nan,nan,,
290,Plate01,M03,Plate01,G02,Morantel tartrate,Prestw-61,26155-31-7,C16H22N2O6S,['Infectiology'],['Antihelmintic']
291,Plate01,M04,Plate02,G02,Verapamil hydrochloride,Prestw-141,152-11-4,C27H39ClN2O4,['Cardiovascular'],['Antihypertensive']
292,Plate01,M05,Plate01,G03,"Homatropine hydrobromide (R,S)",Prestw-62,51-56-9,C16H22BrNO3,"['Diagnostic', 'Ophthalmology']","['Antispastic', 'Mydriatic']"
293,Plate01,M06,Plate02,G03,Dipyridamole,Prestw-142,58-32-2,C24H40N8O4,"['Cardiovascular', 'Hematology']","['Anticoagulant', 'Antiplatelet', 'Vasodilator']"
294,Plate01,M07,Plate01,G04,Nifedipine,Prestw-63,21829-25-4,C17H18N2O6,['Cardiovascular'],"['Antianginal', 'Antihypertensive', 'Vasodilator']"
295,Plate01,M08,Plate02,G04,Chlorhexidine,Prestw-143,55-56-1,C22H30Cl2N10,['Infectiology'],"['Antibacterial', 'Antiseptic']"
296,Plate01,M09,Plate01,G05,Chlorpromazine hydrochloride,Prestw-64,69-09-0,C17H20Cl2N2S,"['Cardiovascular', 'Central Nervous System']","['Antiemetic', 'Antihypertensive', 'Antipsychotic']"
297,Plate01,M10,Plate02,G05,Loperamide hydrochloride,Prestw-144,34552-83-5,C29H34Cl2N2O2,['Gastroenterology'],['Antidiarrheal']
298,Plate01,M11,Plate01,G06,Diphenhydramine hydrochloride,Prestw-65,147-24-0,C17H22ClNO,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Antitussive', 'Sedative']"
299,Plate01,M12,Plate02,G06,Chlortetracycline hydrochloride,Prestw-145,64-72-2,C22H24Cl2N2O8,"['Infectiology', 'Metabolism']","['Antiamebic', 'Antibacterial']"
300,Plate01,M13,Plate01,G07,Minaprine dihydrochloride,Prestw-66,25953-17-7,C17H24Cl2N4O,['Central Nervous System'],"['Anti-Alzheimer', 'Antidepressant']"
301,Plate01,M14,Plate02,G07,Tamoxifen citrate,Prestw-146,54965-24-1,C32H37NO8,"['Endocrinology', 'Oncology']",['Antineoplastic']
302,Plate01,M15,Plate01,G08,Miconazole,Prestw-67,22916-47-8,C18H14Cl4N2O,"['Infectiology', 'Metabolism']",['Antifungal']
303,Plate01,M16,Plate02,G08,Nicergoline,Prestw-147,not available,C24H26BrN3O3,['Cardiovascular'],"['Anti-ischemic', 'Vasodilator']"
304,Plate01,M17,Plate01,G09,Isoxsuprine hydrochloride,Prestw-68,579-56-6,C18H24ClNO3,['Cardiovascular'],['Vasodilator']
305,Plate01,M18,Plate02,G09,Canrenoic acid potassium salt,Prestw-148,2181-04-6,C22H29KO4,['Endocrinology'],"['Antihypertensive', 'Diuretic']"
306,Plate01,M19,Plate01,G10,Acebutolol hydrochloride,Prestw-69,34381-68-5,C18H29ClN2O4,['Cardiovascular'],"['Antianginal', 'Antiarrhythmic', 'Antihypertensive']"
307,Plate01,M20,Plate02,G10,Thioproperazine dimesylate,Prestw-149,2347-80-0,C24H38N4O8S4,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
308,Plate01,M21,Plate01,G11,Tolnaftate,Prestw-70,2398-96-1,C19H17NOS,['Infectiology'],['Antifungal']
309,Plate01,M22,Plate02,G11,Dihydroergotamine tartrate,Prestw-150,5989-77-5,C70H80N10O16,['Central Nervous System'],['Antimigraine']
310,Plate01,M23,Plate01,G12,DMSO,nan,nan,nan,,
311,Plate01,M24,Plate02,G12,DMSO,nan,nan,nan,,
312,Plate01,N01,Plate03,G01,DMSO,nan,nan,nan,,
313,Plate01,N02,Plate04,G01,DMSO,nan,nan,nan,,
314,Plate01,N03,Plate03,G02,Norfloxacin,Prestw-221,70458-96-7,C16H18FN3O3,"['Infectiology', 'Metabolism']",['Antibacterial']
315,Plate01,N04,Plate04,G02,Lisinopril,Prestw-301,83915-83-7,C21H35N3O7,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
316,Plate01,N05,Plate03,G03,Antimycin A,Prestw-222,1397-94-0,C28H40N2O9,"['Infectiology', 'Metabolism']","['Antibacterial', 'Antifungal']"
317,Plate01,N06,Plate04,G03,Lincomycin hydrochloride,Prestw-302,859-18-7,C18H35ClN2O6S,"['Infectiology', 'Metabolism']",['Antibacterial']
318,Plate01,N07,Plate03,G04,Xylometazoline hydrochloride,Prestw-223,1218-35-5,C16H25ClN2,['Cardiovascular'],"['Nasal Decongestant', 'Vasoconstrictor']"
319,Plate01,N08,Plate04,G04,Telenzepine dihydrochloride,Prestw-303,147416-96-4,C19H24Cl2N4O2S,['Gastroenterology'],['Antiulcer']
320,Plate01,N09,Plate03,G05,Oxymetazoline hydrochloride,Prestw-224,2315-02-8,C16H25ClN2O,['Respiratory'],"['Nasal Decongestant', 'Vasoconstrictor']"
321,Plate01,N10,Plate04,G05,Econazole nitrate,Prestw-304,24169-02-6,C18H16Cl3N3O4,"['Infectiology', 'Metabolism']",['Antifungal']
322,Plate01,N11,Plate03,G06,Nifenazone,Prestw-225,2139-47-1,C17H16N4O2,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
323,Plate01,N12,Plate04,G06,Bupivacaine hydrochloride ,Prestw-305,18010-40-7,C18H29ClN2O,['Neuromuscular'],['Local anesthetic']
324,Plate01,N13,Plate03,G07,Griseofulvin,Prestw-226,126-07-8,C17H17ClO6,"['Infectiology', 'Metabolism']","['Antifungal', 'Anti-inflammatory']"
325,Plate01,N14,Plate04,G07,Clemastine fumarate,Prestw-306,14976-57-9,C25H30ClNO5,"['Allergology', 'Central Nervous System']","['Antiemetic', 'Antihistaminic', 'Sedative']"
326,Plate01,N15,Plate03,G08,Clemizole hydrochloride,Prestw-227,1163-36-6,C19H21Cl2N3,"['Allergology', 'Dermatology', 'Infectiology']","['Antibacterial', 'Antifungal', 'Antihistaminic', 'Antipruritic']"
327,Plate01,N16,Plate04,G08,Oxytetracycline dihydrate,Prestw-307,6153-64-6,C22H28N2O11,"['Infectiology', 'Metabolism']",['Antibacterial']
328,Plate01,N17,Plate03,G09,Tropicamide,Prestw-228,1508-75-4,C17H20N2O2,['Neuromuscular'],['Mydriatic']
329,Plate01,N18,Plate04,G09,Pimozide,Prestw-308,2062-78-4,C28H29F2N3O,['Central Nervous System'],['Antipsychotic']
330,Plate01,N19,Plate03,G10,Nefopam hydrochloride,Prestw-229,23327-57-3,C17H20ClNO,['Central Nervous System'],['Analgesic']
331,Plate01,N20,Plate04,G10,Amodiaquin dihydrochloride dihydrate,Prestw-309,6398-98-7,C20H28Cl3N3O3,"['Infectiology', 'Metabolism']","['Anti-inflammatory', 'Antimalarial']"
332,Plate01,N21,Plate03,G11,Phentolamine hydrochloride,Prestw-230,73-05-2,C17H20ClN3O,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
333,Plate01,N22,Plate04,G11,Mebeverine hydrochloride,Prestw-310,2753-45-9,C25H36ClNO5,['Neuromuscular'],['Antispastic']
334,Plate01,N23,Plate03,G12,DMSO,nan,nan,nan,,
335,Plate01,N24,Plate04,G12,DMSO,nan,nan,nan,,
336,Plate01,O01,Plate01,H01,DMSO,nan,nan,nan,,
337,Plate01,O02,Plate02,H01,DMSO,nan,nan,nan,,
338,Plate01,O03,Plate01,H02,Todralazine hydrochloride,Prestw-71,3778-76-5,C11H13ClN4O2,['Cardiovascular'],['Antihypertensive']
339,Plate01,O04,Plate02,H02,Erythromycin,Prestw-151,114-07-8,C37H67NO13,"['Infectiology', 'Metabolism']","['Antibacterial', 'Anti-inflammatory']"
340,Plate01,O05,Plate01,H03,Imipramine hydrochloride,Prestw-72,113-52-0,C19H25ClN2,['Central Nervous System'],['Antidepressant']
341,Plate01,O06,Plate02,H03,Chloroxine,Prestw-1474,773-76-2,C9H5Cl2NO,"['Dermatology', 'Metabolism']",[nan]
342,Plate01,O07,Plate01,H04,Sulindac,Prestw-73,38194-50-2,C20H17FO3S,['Central Nervous System'],"['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
343,Plate01,O08,Plate02,H04,Didanosine,Prestw-153,69655-05-6,C10H12N4O3,"['Infectiology', 'Metabolism']",['Antiviral']
344,Plate01,O09,Plate01,H05,Amitryptiline hydrochloride,Prestw-74,549-18-8,C20H24ClN,['Central Nervous System'],['Antidepressant']
345,Plate01,O10,Plate02,H05,Josamycin,Prestw-154,16846-24-5,C42H69NO15,"['Infectiology', 'Metabolism']",['Antibacterial']
346,Plate01,O11,Plate01,H06,Adiphenine hydrochloride,Prestw-75,50-42-0,C20H26ClNO2,['Neuromuscular'],['Antispastic']
347,Plate01,O12,Plate02,H06,Paclitaxel,Prestw-155,33069-62-4,C47H51NO14,['Oncology'],['Antineoplastic']
348,Plate01,O13,Plate01,H07,Dibucaine,Prestw-76,85-79-0,C20H29N3O2,['Neuromuscular'],['Local anesthetic']
349,Plate01,O14,Plate02,H07,Ivermectin,Prestw-156,70288-86-7,C48H74O14,"['Infectiology', 'Metabolism']","['Antihelmintic', 'Antiparasitic']"
350,Plate01,O15,Plate01,H08,Prednisone,Prestw-77,53-03-2,C21H26O5,"['Dermatology', 'Endocrinology', 'Immunology']","['Anti-inflammatory', 'Antipruritic', 'Immunosuppressant']"
351,Plate01,O16,Plate02,H08,Gallamine triethiodide,Prestw-157,65-29-2,C30H60I3N3O3,['Neuromuscular'],['Muscle relaxant']
352,Plate01,O17,Plate01,H09,Thioridazine hydrochloride,Prestw-78,130-61-0,C21H27ClN2S2,['Central Nervous System'],['Antipsychotic']
353,Plate01,O18,Plate02,H09,Neomycin sulfate,Prestw-158,1405-10-3,C23H48N6O17S,"['Infectiology', 'Metabolism']",['Antibacterial']
354,Plate01,O19,Plate01,H10,Diphemanil methylsulfate,Prestw-79,62-97-5,C21H27NO4S,['Gastroenterology'],"['Antispastic', 'Antiulcer']"
355,Plate01,O20,Plate02,H10,Dihydrostreptomycin sulfate,Prestw-159,5490-27-7,C42H88N14O36S3,"['Infectiology', 'Metabolism']",['Antibacterial']
356,Plate01,O21,Plate01,H11,Trimethobenzamide hydrochloride,Prestw-80,554-92-7,C21H29ClN2O5,['Central Nervous System'],['Antiemetic']
357,Plate01,O22,Plate02,H11,Gentamicine sulfate,Prestw-160,1405-41-0,C60H125N15O25S,"['Infectiology', 'Metabolism']",['Antibacterial']
358,Plate01,O23,Plate01,H12,DMSO,nan,nan,nan,,
359,Plate01,O24,Plate02,H12,DMSO,nan,nan,nan,,
360,Plate01,P01,Plate03,H01,DMSO,nan,nan,nan,,
361,Plate01,P02,Plate04,H01,DMSO,nan,nan,nan,,
362,Plate01,P03,Plate03,H02,Etodolac,Prestw-231,41340-25-4,C17H21NO3,"['Central Nervous System', 'Hematology']","['Analgesic', 'Anti-inflammatory', 'Antiplatelet', 'Antipyretic']"
363,Plate01,P04,Plate04,H02,Ifenprodil tartrate,Prestw-311,23210-58-4,C25H33NO8,['Cardiovascular'],['Vasodilator']
364,Plate01,P05,Plate03,H03,Scopolamin-N-oxide hydrobromide,Prestw-232,6106-81-6,C17H22BrNO5,['Neuromuscular'],"['Antispastic', 'Mydriatic']"
365,Plate01,P06,Plate04,H03,Flunarizine dihydrochloride,Prestw-312,30484-77-6,C26H28Cl2F2N2,['Central Nervous System'],"['Anticonvulsant', 'Vasodilator']"
366,Plate01,P07,Plate03,H04,Hyoscyamine (L) ,Prestw-233,101-31-5,C17H23NO3,"['Central Nervous System', 'Ophthalmology']","['Antiemetic', 'Antispastic', 'Mydriatic']"
367,Plate01,P08,Plate04,H04,Trifluoperazine dihydrochloride,Prestw-313,440-17-5,C21H26Cl2F3N3S,['Central Nervous System'],"['Antiemetic', 'Antipsychotic']"
368,Plate01,P09,Plate03,H05,Chlorphensin carbamate,Prestw-234,886-74-8,C10H12ClNO4,['Central Nervous System'],['Muscle relaxant']
369,Plate01,P10,Plate04,H05,Enalapril maleate,Prestw-314,76095-16-4,C24H32N2O9,['Cardiovascular'],['Antihypertensive']
370,Plate01,P11,Plate03,H06,Carmofur,Prestw-1771,61422-45-5,C11H16FN3O3,['Metabolism'],['Antineoplastic']
371,Plate01,P12,Plate04,H06,Minocycline hydrochloride,Prestw-315,13614-98-7,C23H28ClN3O7,"['Infectiology', 'Metabolism']",['Antibacterial']
372,Plate01,P13,Plate03,H07,Dilazep dihydrochloride,Prestw-236,20153-98-4,C31H46Cl2N2O10,"['Cardiovascular', 'Hematology']","['Antiplatelet', 'Vasodilator']"
373,Plate01,P14,Plate04,H07,Glibenclamide,Prestw-316,10238-21-8,C23H28ClN3O5S,['Endocrinology'],['Antidiabetic']
